NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24942491,leak noted on pipe 2 linear indication presence with length approximately 15mm from mpi testing,1,to be repaired/ replaced,remain,to be repaired/ replaced,sectional replacement by flange to flange . prefab short spool and install at site
24888069,flood light cover missing,2,to be repaired/ replaced,revise,to be rectified,reinstate flood light cover
25077739,smallbore pipe severe corroded with heavy scaling condition metal loss expected when scaling being remove,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a functionalized graphene oxide rust converter coating. rust grade d. remove duct tape between flange
24926465,scaling corrosion which major wall loss expected when scaling being removed 100gg11,2,to be repaired/ replaced,revise,to be painted,perform surface cleaning. further visual assessment. perform spot painting m1a on corroded pipe
24927556,atmospheric corrosion with scaling noted on pipe major wall loss expected when scaling being removed,2,to be repaired/ replaced,remain,to be repaired/ replaced,propose composite wrapping as repair method didate for permanent repair
24926131,support severe corroded with no ubolt installed,2,to be repaired/ replaced,revise,to be rectified,perform surface cleaning and measure depth of corrosion lift pipe paint corroded flange bolts and nuts rg d install irod with ubolts propose to use hilti for pipe support
24926037,depleted bolt and nuts between 2550 from original thickness and dissimilar material at flanges with no isolation kits installed,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d. . surface cleaning at pipe area that not coated by using acid pickling
24925970,no plug installed at valve teflon sheet and ubolt damage condition observed pipe direct contact with no vibration and no teflon sheet installed crevice corrosion observed,2,to be repaired/ replaced,revise,to be rectified,reinstate back missing plug at valve. replace new ubolts with isolation pad repairy pull lift pipe to insert non metal teflon kevlar sheet
24925966,depleted of bolt and nuts between 2550 from original thickness flange severe corroded with thick scaling condition,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24840121,bolt and nut condition depleted condition between 2550from original thickness flange surface atmospheric corrosion with scaling condition,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24840120,bolt and nut condition depleted condition between2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24840115,depleted condition between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24840114,bolt and nut condition dissimilar material with no isolation kits installed,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d. . surface cleaning at pipe area that not coated by using acid pickling
24840113,depleted condition between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24840112,severe corroded with heavy scaling and metal loss condition,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d
24840119,heavy scaling with severe corroded at body pvsv bolt and nut condition depleted condition between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24840118,heavy scaling with severe corroded at body pvsv bolt and nut condition depleted condition between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24840117,depleted condition between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24494058,nozzle n9 observed in poor condition with presence of severe atmospheric corrosion on flange and valve signifit thiing expected. if scale being removed tbr,2,to be repaired/ replaced,revise,to be painted,painting on valve flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24494055,nozzle n7 observed in poor condition with severe atmospheric corrosion on nozzle body with presence of hard scale tbr,2,to be repaired/ replaced,revise,to be painted,painting on nozzle flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24834611,badly corroded and thiing psv cap,2,to be repaired/ replaced,revise,to be painted,painting on valve body flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d
24817716,bolt and nut depleted condition between2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24817752,location details lower deck north side description of defect depleted of bolt and nut between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24816951,location details upper deck description of defect bolt and nut depleted 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24817777,valve assembly severe corrosion with scaling and metal loss condition bolt and nut noted depleted condition between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24817780,location details lower deck description of defect bolt and nut depleted condition between2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24816922,location details lower deck description of defect bolt and nut depleted condition between2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24816925,location details lower deck from 80p0008g1description of defect bolt and nut depleted condition between2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade c
24816928,location details upper deck description of defect pcv severe corroded with heavy scaling condition,2,to be repaired/ replaced,revise,to be painted,painting on pcv with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24840123,bolt and nut condition depleted condition between2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24817783,valve severe corroded with heavy scaling and metal loss condition bolt and nut depleted condition between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on valve flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24925328,grayloc severe corroded with heavy scaling condition,2,to be repaired/ replaced,revise,to be painted,painting on pipe grayloc bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24925701,valve and grayloc severe corroded with scaling condition,2,to be repaired/ replaced,revise,to be painted,painting on valve body with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24925048,dissimilar material at flange with no isolation kits installed,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d. . surface cleaning at pipe area that not coated by using acid pickling
24925185,grayloc moderate surface corrosion with thick scaling condition,2,to be repaired/ replaced,revise,to be painted,painting on grayloc bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24925236,dissimilar material at bolt and nuts with no isolation kits installed,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d. . surface cleaning at pipe area that not coated by using acid pickling
24925238,grayloc atmospheric corrosion with severe scaling surface condition,2,to be repaired/ replaced,revise,to be painted,painting on grayloc bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24926553,severe scattered scaling corrosion that leak is expected when scaling being removed,2,to be repaired/ replaced,remain,to be repaired/ replaced,hilti cold cutting for pipe support composite wrapping for pipe didate for permanent repair
24816946,location details lower deck from wh8description of defect bolt and nut dissimilar material with no isolation kits installed,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24873885,moderate surface corrosion heavy scaling condition,2,to be repaired/ replaced,revise,to be painted,painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24873888,bolt and nut condition depleted condition between2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a functionalized graphene oxide rust converter coating. rust grade d
24873889,bolt and nut condition depleted condition between2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a functionalized graphene oxide rust converter coating. rust grade d
24849897,external wall loss approximately 3mm,2,to be repaired/ replaced,remain,to be repaired/ replaced,sectional replacement by flange to flange method
24849803,severe crevice corrosion noted psv750a,2,to be repaired/ replaced,revise,to be painted,painting on psv body with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24852989,scaling corrosion which major wall loss expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,painting on corroded with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24853061,scaling corrosion which major wall loss expected when scaling being removed,2,to be repaired/ replaced,remain,to be repaired/ replaced,sectional replacement by flange to flange method
24853062,scattered scaling corrosion on pipe which major wall loss expected when scaling being removed,2,to be repaired/ replaced,revise,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on pipe and support with m1a coating
24853063,scaling corrosion which major wall loss expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,painting on valve flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24852990,scaling corrosion which major wall loss expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,painting on valve flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24873886,depleted less than 25 form original thickness,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24888508,scattered atmospheric corrosion with scaling noted along pipe spool major wall loss expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,painting on grayloc bolts and nut with m1a coating. in between grayloc use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24888509,scattered atmospheric corrosion with scaling noted along pipe spool major wall loss expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24888510,atmospheric corrosion with scaling noted on pipe weldment major wall loss expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,painting on pipe glass reinforced epoxyyloc bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24910551,depleted bolt and nuts between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24873887,depleted condition between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24878761,severe scattered scaling corrosion that leak is expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24878760,severe scattered scaling corrosion that major wall loss expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24878754,scattered scaling corrosion which major walloss expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,painting on pipe with m1a coating. rust grade d
24878708,severe scattered scaling corrosion that leak is expected when scaling being removed,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24878670,handle valve support badly corroded,2,to be repaired/ replaced,revise,to be painted,painting on pipe valve flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24479269,location details wellhead area description of defect localized internal corrosion. noted on radiographic testing location e1 at haz area,2,to be repaired/ replaced,remain,to be repaired/ replaced,sectional replacement by flange to flange method
24922944,atmospheric corrosion with scaling noted on pipe major wall loss expected when scaling being removed,2,to be repaired/ replaced,revise,to be rectified,composite wrapping for pipe didate for permanent repair
24922952,atmospheric corrosion with scaling noted on pipe leak expected when scaling being removed,2,to be repaired/ replaced,revise,to be rectified,composite wrapping for pipe didate for permanent repair
24922951,pipe smallbore and flange moderate surface corrosion with heavy scaling condition depleted condition at bolt and nuts between 2550 from original thickness,2,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24269906,bolt and nut with sign of surface depleted condition,3,to be repaired/ replaced,revise,to be painted,painting on pipe flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc functionalized graphene oxide rust converter coating. rust grade d
24225739,severe crevice corrosion noted on flange,3,to be repaired/ replaced,remain,to be repaired/ replaced,sectional replacement by flange to flange method
24386182,general corrosion noted on structure,3,to be repaired/ replaced,revise,to be painted,painting on handrail with m1a functionalized graphene oxide rust converter coating. rust grade d. repair on link chain
24386181,general corrosion noted on structure,3,to be repaired/ replaced,revise,to be painted,painting on handrail with m1a functionalized graphene oxide rust converter coating. rust grade d. repair on link chain
24250221, deteriorated and perforated on pipe support structure selected area,3,to be repaired/ replaced,revise,to be rectified,remove parted support and replace hilti modular support
24250218, deteriorated and perforated on handrail structure,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace deteriorated and perforated on handrail structure
24250216,deteriorated and perforated noted on cable conduit structure,3,to be repaired/ replaced,remain,to be repaired/ replaced,repair on conduit structure
24250387, deteriorated and perforated on support structure,3,to be repaired/ replaced,revise,to be rectified,remove parted support and replace hilti modular support
24250383,deteriorated and perforated noted on coaming structurerosak,3,to be repaired/ replaced,revise,to be rectified,hilti cold cutting repair install new coaming
24250381, missing support,3,to be repaired/ replaced,revise,to be rectified,site team to confirm requirement of support at site
24250380,deteriorated and perforated noted on structure,3,to be repaired/ replaced,revise,to be rectified,replace deteriorated and perforated noted on structure. confirm with operation whether structure still in used or not otherwise remove
24250379, deteriorated and perforated on tubing frame support structure,3,to be repaired/ replaced,revise,to be rectified,site team to confirm requirement of support at site
24250378,general corrosion with thick scaling noted on frame support structure,3,to be repaired/ replaced,revise,to be painted,painting on frame support structure with m1a functionalized graphene oxide rust converter coating. rust grade c
24249018,deteriorated and depleted noted on grating structure,3,to be repaired/ replaced,revise,to be painted,painting on grating structure with m1a functionalized graphene oxide rust converter coating. rust grade d
24249017,valve handle damage parted,3,to be repaired/ replaced,revise,to be rectified,replace valve handle with surplus material. dispose valve
24249319, deteriorated and thiing on beacon light support structure,3,to be repaired/ replaced,revise,to be painted,painting on beacon light support structure with m1a functionalized graphene oxide rust converter coating. rust grade d
24249317, badly corroded deteriorated and perforated noted on piping support structure,3,to be repaired/ replaced,remain,to be repaired/ replaced,remove badly corrodeddeteriorated support and replace hilti modular support
24249316, deteriorated and perforated on support structure,3,to be repaired/ replaced,remain,to be repaired/ replaced,hilti cold cutting for pipe support
24249314, deteriorated and severe corroded noted on cable tray structure,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace with new cable tray
24249313,deteriorated and depleted noted on support structure,3,to be repaired/ replaced,remain,to be repaired/ replaced,hilti cold cutting for support structure
24249016, corrosion resistant allowck and damage on equipment casing not in use. ,3,to be repaired/ replaced,revise,to be rectified,reinstate equipment casing to original condition. confirm with operation if equipment still in use. 
24249014,deteriorated and depleted noted on support structure,3,to be repaired/ replaced,revise,to be painted,painting on support structure with m1a functionalized graphene oxide rust converter coating. rust grade d
24249013,deteriorated perforated and thiing noted on assoc pipingsupport structure,3,to be repaired/ replaced,revise,to be rectified,repairy using benzona patch painting on piping support structure with m1a functionalized graphene oxide rust converter coating. rust grade d
24248420,deteriorated and severe corroded noted on assoc cable tray structure selected area,3,to be repaired/ replaced,remain,to be repaired/ replaced,replace deteriorated cable tray structure with hilti
24248418,deteriorated and perforated noted on assoc cable tray support structure,3,to be repaired/ replaced,revise,to be painted,painting on assoc cable tray support structure with m1a functionalized graphene oxide rust converter coating. rust grade d
24248416,deteriorated and perforated noted on assoc cable tray support structure,3,to be repaired/ replaced,revise,to be painted,painting on assoc cable tray support structurewith m1a functionalized graphene oxide rust converter coating. rust grade d
24249006,severe corroded with deteriorated and perforated noted on support structure,3,to be repaired/ replaced,revise,to be rectified,repair deteriorated and perforated noted on support structure
24249004,deteriorated and perforated noted on support structure,3,to be repaired/ replaced,revise,to be rectified,repairy using benzona patch painting on piping support structure with m1a functionalized graphene oxide rust converter coating. rust grade d
24278121,flange and bolt for nozzle n8 experienced with sign of corrosion,3,to be repaired/ replaced,revise,to be painted,painting on flange and bolts for nozzle n8 with m1a functionalized graphene oxide rust converter coating. rust grade d. remove black tape at flange area
24226247,presence of temporary wrapping on pipe and severe corrosion noted on flange,3,to be repaired/ replaced,revise,to be painted,painting on flange and bolts for corroded nozzle with m1a functionalized graphene oxide rust converter coating. rust grade d. site team to confirm status of wrapping line at site
24225842,thick scaling noted on pipe,3,to be repaired/ replaced,revise,to be rectified,propose composite wrapping as repair method didate for permanent repair
24225841,presence of wrapping noted on pipe,3,to be repaired/ replaced,revise,to be rectified,confirm actual condition at site and verify with operation
24926558,crevice corrosion noted on pipe under pipe support,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded pipe and support with m1a coating
24926136,no plug installed at valve,2,to be rectified,remain,to be rectified,reinstate back plug
24926107,grayloc pipe surface scattered atmospheric corrosion with scaling condition80 and more of bolt and nut covered by atmospheric corrosion with coating failure,2,to be rectified,revise,to be painted,painting on grayloc pipe and bolts and nut with m1a functionalized graphene oxide rust converter coating. rust grade d
24926101,pipe direct contact with other pipe observed no vibration and teflon sheet ,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded pipe and support with m1a coating
24494792,view of another control device located at topside of vessel noted with paint flaking and surface rusting flange of nozzle coecting to control device observed under rated causing fasteners were not properly aligned,2,to be rectified,revise,to be painted,painting on nozzle flange control device flange bolts and nut with m1a functionalized graphene oxide rust converter coating. rust grade d
24816941,pipe surface direct contact with no vibration and atmospheric corrosion observed,2,to be rectified,remain,to be rectified,repairy pull lift pipe to insert non metal teflon kevlar sheet painting on corroded pipe with m1a functionalized graphene oxide rust converter coating. rust grade d
24816956,teflon damage condition and pipe direct contactwith crevice corrosion observed,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on pipe and support with m1a coating
24817771,no plug installed at valve section and pipe direct contact with no teflon sheet installed,2,to be rectified,remain,to be rectified,reinstate back plug pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on pipe and support with m1a coating
24817772,valve handle missing and no teflon sheet installed at support,2,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on pipe and support with m1a system
24817779,no teflon sheet installed at supportand no plug installed at valve small bore pipe,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded pipe and support with m1a coating. reinstate back plug
24817782,valve handle and plug severe corroded with metal loss condition,2,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating. reinstate back new plug
24816929,filter with sign of cover by cloth no plug installed at joint threaded,2,to be rectified,remain,to be rectified,reinstate back new plug painting on corroded valve with m1a coating
24925949,no plug installed at valve,2,to be rectified,remain,to be rectified,reinstate back new plug painting on corroded valve with m1a coating
24925045,no teflon sheet installed at pipe direct contact hand valve missing and no plug installed ,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad replace valve handle with surplus material. dispose valve
24925362,pipe direct contact with grating and no teflon sheet installed no plug installed and teflon sheet damage at support and valve,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad. reinstate back new plug painting on corroded valve with m1a coating
24925046,pipe direct contact with other pipe and no teflon sheet installed observed at support and pipe contact,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded valve with m1a coating
24925038,pipe direct contact and crevice corrosion appear teflon sheet not installed at support,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded valve with m1a coating
24925184,pipe direct contact with no vibration and no teflon sheet installed hand valve missing and no plug installed,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating 4. reinstate back new plug
24925235,pipe direct contact with no vibration observed,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded valve with m1a coating
24925326,hand valve missing and no plug installed,2,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve. reinstate back new plug painting on corroded valve with m1a coating
24817788,teflon sheet not installed at support no plug installed at valve section observed,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad. reinstate back new plug painting on corroded valve with m1a coating
24874026,plug body valve direct contact,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded valve with m1a coating
24865239, wall loss approximately 185mm therefore thickness are 27mm pipe in contact with structure,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded pipe with m1a coating
24816926,valve handle missing,2,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve
24874023,no teflon sheet installed,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded pipe and support with m1a coating
24874024,hand valve missing and broken condition,2,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve
24874025,direct contact with other pipe,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet painting on corroded pipe with m1a coating
24874030,no plug installed,2,to be rectified,remain,to be rectified,reinstate back with new plug
24874051,direct contact with no vibration and crevice corrosion observed,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded pipe and support with m1a coating
24874052,direct contact with no vibration and crevice corrosion observed,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded pipe and support with m1a coating
24874053,no teflon sheet and hand valve installed,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded pipe and support with m1a coating
24874055,pipe surface coating peel off with crevice corrosion observed no teflon sheet installed,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded pipe and support with m1a coating
24874104,corroded with scaling condition,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet painting on corroded pipe and support with m1a coating
24874106,hand valve broken condition observed,2,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve
24817756,no plug at dead led piping on valve section and pipe direct contact with no vibration and crevice corrosion observed,2,to be rectified,remain,to be rectified,reinstate back new plug pull lift pipe to insert non metal teflon kevlar sheet painting on corroded pipe with m1a coating
24874101,hand valve noted in broken condition,2,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve
24910643,no teflon sheet installed,2,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet painting on corroded pipe with m1a coating
24478712,bolt and nut at body valve with sign of oil leak and no gas leak during by gas test checking by operation crew at site,2,to be rectified,revise,to be painted,paint since there is no gas leak as checking by operation crew at site
24922942,upper deck from description of defect hand valve severe corroded condition observed,2,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve
24922961,no plug and teflon sheet installed at valve and support,2,to be rectified,remain,to be rectified,reinstate back new plug pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded valve with m1a coating
24269907,hand valve with sign of missing at valve section,3,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve
24183694,pipe support perforated,3,to be rectified,remain,to be rectified,to patch perforated area with belzona painting on pipe support and pipe with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d
24183695,pipe support perforated,3,to be rectified,revise,to be painted,to patch perforated area with belzona painting on pipe support and pipe with m1a coating. in between flange to flange use spray single pack zinc coating. rust grade d
24183699,crevice corrosion. in between pipe support,3,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet painting on corroded pipe with m1a coating
24183700,piping in direct contact to other piping presence crevice corrosion,3,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet painting on corroded pipe with m1a coating
24269966,hand valve with sign of missing at valve section,3,to be rectified,revise,to be repaired/ replaced,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24269967,hand valve with sign of missing at valve section,3,to be rectified,revise,to be repaired/ replaced,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24269966,hand valve with sign of missing at valve section,3,to be rectified,revise,to be repaired/ replaced,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24269967,hand valve with sign of missing at valve section,3,to be rectified,revise,to be repaired/ replaced,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24269966,hand valve with sign of missing at valve section,3,to be rectified,revise,to be repaired/ replaced,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24269967,hand valve with sign of missing at valve section,3,to be rectified,revise,to be repaired/ replaced,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24269966,hand valve with sign of missing at valve section,3,to be rectified,revise,to be repaired/ replaced,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24269967,hand valve with sign of missing at valve section,3,to be rectified,revise,to be repaired/ replaced,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24183732,piping in direct contact to piping support presence crevice corrosion,3,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet painting on corroded valve with m1a coating
24183692,piping in direct contact to support presence crevice corrosion,3,to be rectified,remain,to be rectified,pull lift pipe to insert non metal teflon kevlar sheet. replace new ubolts with isolation pad painting on corroded valve with m1a coating
24234937,hand valve missing at valve section,3,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
24234938,hand valve missing at valve section,3,to be rectified,remain,to be rectified,replace valve handle with surplus material. dispose valve painting on corroded valve with m1a coating
